name,organization,parameters,release_date,family,macro-family
0-hero/Matter-0.1-7B-boost-DPO-preview,0-hero,7,unknown,Matter 7B,Matter
0-hero/Matter-0.1-7B-DPO-preview,0-hero,7,unknown,Matter 7B,Matter
20231010_rag_claude2,unknown,unknown,935,Claude 2,Claude 2
20231010_rag_gpt35,unknown,unknown,935,GPT-3.5,GPT-3.5
20231010_rag_swellama13b,Princeton,13,935,SWELLama 13B,SWELLama
20231010_rag_swellama7b,Princeton,7,935,SWELLama 7B,SWELLama
20240402_rag_claude3opus,unknown,unknown,761,Claude 3 Opus,Opus
20240402_rag_gpt4,unknown,unknown,761,GPT-4,GPT-4
20240402_sweagent_claude3opus,Princeton,unknown,761,Claude 3 Opus,Opus
20240402_sweagent_gpt4,Princeton,unknown,761,GPT-4,GPT-4
20240509_amazon-q-developer-agent-20240430-dev,Amazon,unknown,724,Amazon Q Developer,Amazon Q
20240612_MASAI_gpt4o,IIT Delhi,unknown,690,GPT-4o,GPT-4o
20240615_appmap-navie_gpt4o,AppMap,unknown,687,GPT-4o,GPT-4o
20240617_factory_code_droid,Factory,unknown,685,unknown,unknown
20240620_sweagent_claude3.5sonnet,Princeton,unknown,682,Claude 3.5 Sonnet,Sonnet
20240628_autocoderover-v20240620,AutoCodeRover,unknown,674,unknown,unknown
20240721_amazon-q-developer-agent-20240719-dev,Amazon,unknown,651,Amazon Q Developer,Amazon Q
20240728_sweagent_gpt4o,Princeton,unknown,644,GPT-4o,GPT-4o
20240820_epam-ai-run-gpt-4o,EPAM,unknown,621,GPT-4o,GPT-4o
20240820_honeycomb,Honeycomb,unknown,621,unknown,unknown
20240824_gru,Gru,unknown,617,unknown,unknown
20240918_lingma-agent_lingma-swe-gpt-72b,Alibaba,72,592,Lingma SWE-GPT 72B,Lingma
20240918_lingma-agent_lingma-swe-gpt-7b,Alibaba,7,592,Lingma SWE-GPT 7B,Lingma
20240920_solver,Solver,unknown,590,unknown,unknown
20240924_solver,Solver,unknown,586,unknown,unknown
20241001_nfactorial,nFactorial,unknown,579,unknown,unknown
20241002_lingma-agent_lingma-swe-gpt-72b,Alibaba,72,578,Lingma SWE-GPT 72B,Lingma
20241002_lingma-agent_lingma-swe-gpt-7b,Alibaba,7,578,Lingma SWE-GPT 7B,Lingma
20241007_nfactorial,nFactorial,unknown,573,unknown,unknown
20241016_composio_swekit,Composio,unknown,564,unknown,unknown
20241016_epam-ai-run-gpt-4o,EPAM,unknown,564,GPT-4o,GPT-4o
20241022_tools_claude-3-5-haiku,unknown,unknown,558,Claude 3.5 Haiku,Haiku
20241022_tools_claude-3-5-sonnet-updated,unknown,unknown,558,Claude 3.5 Sonnet,Sonnet
20241023_emergent,Emergent,unknown,557,unknown,unknown
20241025_composio_swekit,Composio,unknown,555,unknown,unknown
20241028_agentless-1.5_gpt4o,Agentless (UIUC),unknown,552,GPT-4o,GPT-4o
20241028_solver,Solver,unknown,552,unknown,unknown
20241029_epam-ai-run-claude-3-5-sonnet,EPAM,unknown,551,Claude 3.5 Sonnet,Sonnet
20241029_OpenHands-CodeAct-2.1-sonnet-20241022,OpenHands,unknown,551,Claude 3.5 Sonnet,Sonnet
20241030_nfactorial,nFactorial,unknown,550,unknown,unknown
20241105_nfactorial,nFactorial,unknown,544,unknown,unknown
20241106_navie-2-gpt4o-sonnet,AppMap,unknown,543,GPT-4o,GPT-4o
20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022,AutoCodeRover,unknown,541,Claude 3.5 Sonnet,Sonnet
20241108_devlo,Devlo,unknown,541,unknown,unknown
20241113_nebius-search-open-weight-models-11-24,Nebius,unknown,536,unknown,unknown
20241120_artemis_agent,Artemis,unknown,529,unknown,unknown
20241125_enginelabs,EngineLabs,unknown,524,unknown,unknown
20241125_marscode-agent-dev,ByteDance,unknown,524,unknown,unknown
20241128_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor_20241128,SWE-Fixer,72,521,Qwen2.5,Qwen2.5
20241202_agentless-1.5_claude-3.5-sonnet-20241022,Agentless (UIUC),unknown,517,Claude 3.5 Sonnet,Sonnet
20241202_amazon-q-developer-agent-20241202-dev,Amazon,unknown,517,Amazon Q Developer,Amazon Q
20241208_gru,Gru,unknown,511,unknown,unknown
20241212_epam-ai-run-claude-3-5-sonnet,EPAM,unknown,507,Claude 3.5 Sonnet,Sonnet
20241212_google_jules_gemini_2.0_flash_experimental,Google,unknown,507,Gemini 2.0 Flash,Gemini 2.0
20241213_devlo,Devlo,unknown,506,unknown,unknown
20241221_codestory_midwit_claude-3-5-sonnet_swe-search,CodeStory,unknown,498,Claude 3.5 Sonnet,Sonnet
20241223_emergent,Emergent,unknown,496,unknown,unknown
20250110_blackboxai_agent_v1.1,BlackboxAI,unknown,478,unknown,unknown
20250110_learn_by_interact_claude3.5,Learn by Interact,unknown,478,Claude 3.5 Sonnet,Sonnet
20250112_ugaiforge,UGAIForge,unknown,476,unknown,unknown
20250117_wandb_programmer_o1_crosscheck5,Weights & Biases,unknown,471,o1,o1
20250118_codeshellagent_gemini_2.0_flash_experimental,CodeShellAgent,unknown,470,Gemini 2.0 Flash,Gemini 2.0
20250120_Bracket,Bracket,unknown,468,unknown,unknown
20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022,AutoCodeRover,unknown,466,Claude 3.5 Sonnet,Sonnet
20250203_openhands_4x_scaled,OpenHands,unknown,454,unknown,unknown
20250206_agentscope,AgentScope,unknown,451,unknown,unknown
20250214_agentless_lite_o3_mini,Agentless (UIUC),unknown,443,o3 mini,o3
20250224_tools_claude-3-7-sonnet,unknown,unknown,433,Claude 3.7 Sonnet,Sonnet
20250225_sweagent_claude-3-7-sonnet,Princeton,unknown,432,Claude 3.7 Sonnet,Sonnet
20250226_swerl_llama3_70b,SweRL,70,431,Llama 3 70B,Llama 3
20250228_epam-ai-run-claude-3-5-sonnet,EPAM,unknown,429,Claude 3.5 Sonnet,Sonnet
20250306_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor,SWE-Fixer,72,422,Qwen2.5,Qwen2.5
20250316_augment_agent_v0,Augment,unknown,412,unknown,unknown
20250405_amazon-q-developer-agent-20250405-dev,Amazon,unknown,393,Amazon Q Developer,Amazon Q
20250405_swe-rizzo_claude37,SWE-Rizzo,unknown,393,Claude 3.7 Sonnet,Sonnet
20250410_cortexa,Cortexa,unknown,388,unknown,unknown
20250415_openhands,OpenHands,unknown,383,unknown,unknown
20250430_zencoder_ai,ZenCoder,unknown,368,unknown,unknown
20250503_patchpilot-v1.1-o4-mini,PatchPilot,unknown,365,o4 mini,o4
20250511_sweagent_lm_32b,Princeton,32,357,unknown,unknown
20250514_aime_coder,AIME Coder,unknown,354,unknown,unknown
20250515_Refact_Agent,Refact AI,unknown,353,unknown,unknown
20250516_cortexa_o3,Cortexa,unknown,352,o3,o3
20250519_devlo,Devlo,unknown,349,unknown,unknown
20250519_trae,ByteDance,unknown,349,unknown,unknown
20250520_openhands_devstral_small,OpenHands,unknown,348,Devstral Small,Devstral
20250522_sweagent_claude-4-sonnet-20250514,Princeton,unknown,346,Claude Sonnet 4,Sonnet
20250522_tools_claude-4-opus,unknown,unknown,346,Claude Opus 4,Opus
20250522_tools_claude-4-sonnet,unknown,unknown,346,Claude Sonnet 4,Sonnet
20250524_openhands_claude_4_sonnet,OpenHands,unknown,344,Claude Sonnet 4,Sonnet
20250527_amazon.nova-premier-v1.0,Amazon,unknown,341,Amazon Nova Premier,Amazon Nova
20250528_patchpilot_Co-PatcheR,PatchPilot,unknown,340,unknown,unknown
20250603_Refact_Agent_claude-4-sonnet,Refact AI,unknown,334,Claude Sonnet 4,Sonnet
20250610_augment_agent_v1,Augment,unknown,327,unknown,unknown
20250611_moatless_claude-4-sonnet-20250514,Moatless Tools,unknown,326,Claude Sonnet 4,Sonnet
20250612_trae,ByteDance,unknown,325,unknown,unknown
20250616_Skywork-SWE-32B,Skywork,32,321,Skywork-SWE 32B,Skywork-SWE
20250616_Skywork-SWE-32B+TTS_Bo8,Skywork,32,321,Skywork-SWE 32B,Skywork-SWE
20250623_warp,Warp,unknown,314,unknown,unknown
20250627_agentless_MCTS-Refine-7B,Agentless (UIUC),7,310,unknown,unknown
20250629_deepswerl_r2eagent,DeepSweRL,unknown,308,unknown,unknown
20250629_deepswerl_r2eagent_tts,DeepSweRL,unknown,308,unknown,unknown
20250710_bloop,Bloop,unknown,297,unknown,unknown
20250715_qodo_command,Qodo,unknown,292,unknown,unknown
20250716_openhands_kimi_k2,OpenHands,1000,291,Kimi K2,Kimi K2
20250720_Lingxi-v1.5_claude-4-sonnet-20250514,Lingxi,unknown,287,Claude Sonnet 4,Sonnet
20250725_sweagent_devstral_small_2507,Princeton,unknown,282,Devstral Small,Devstral
20250728_zai_glm4-5,Z.AI,355,279,GLM-4.5,GLM-4.5
20250731_harness_ai,Harness AI,unknown,276,unknown,unknown
20250804_codesweep_sweagent_kimi_k2_instruct,CodeSweep,1000,272,Kimi K2,Kimi K2
20250804_epam-ai-run-claude-4-sonnet,EPAM,unknown,272,Claude Sonnet 4,Sonnet
20250805_openhands-Qwen3-Coder-30B-A3B-Instruct,OpenHands,30,271,Qwen3 Coder 30B,Qwen3
20250805_openhands-Qwen3-Coder-480B-A35B-Instruct,OpenHands,480,271,Qwen3 Coder 480B,Qwen3
20250806_SWE-Exp_DeepSeek-V3,SWE-Exp,671,270,DeepSeek V3,DeepSeek V3
20250807_openhands_gpt5,OpenHands,unknown,269,GPT-5,GPT-5
20250819_ACoder,ACoder,unknown,257,unknown,unknown
20250901_entroPO_R2E_QwenCoder30BA3B,EntroPO,30,244,Qwen3 Coder 30B,Qwen3
20250901_entroPO_R2E_QwenCoder30BA3B_tts,EntroPO,30,244,Qwen3 Coder 30B,Qwen3
20250901_warp,Warp,unknown,244,unknown,unknown
20250902_atlassian-rovo-dev,Atlassian,unknown,243,unknown,unknown
20250915_JoyCode,JoyCode,unknown,230,unknown,unknown
20250924_artemis_agent_v2,Artemis,unknown,221,unknown,unknown
20250928_trae_doubao_seed_code,ByteDance,unknown,217,Doubao Seed Code,Doubao Seed
20250929_Prometheus_v1.2_gpt5,Prometheus,unknown,216,GPT-5,GPT-5
20250930_zai_glm4-6,Z.AI,unknown,215,GLM-4.6,GLM-4.6
20251014_Lingxi_kimi_k2,Lingxi,1000,201,Kimi K2,Kimi K2
20251015_Prometheus_v1.2.1_gpt5,Prometheus,unknown,200,GPT-5,GPT-5
20251021_SalesforceAIResearch_SAGE_bash_only,Salesforce AI Research,unknown,194,unknown,unknown
20251103_SalesforceAIResearch_SAGE_OpenHands,Salesforce AI Research,unknown,181,unknown,unknown
20251103_sonar-foundation-agent_claude-sonnet-4-5,Sonar Foundation,unknown,181,Claude Sonnet 4.5,Sonnet
20251110_frogboss-32b,unknown,32,174,unknown,unknown
20251110_frogmini-14b,unknown,14,174,unknown,unknown
20251120_livesweagent_gemini-3-pro-preview,LiveSWEAgent,unknown,164,Gemini 3 Pro,Gemini 3
20251127_openhands_claude-opus-4-5,OpenHands,unknown,157,Claude Opus 4.5,Opus
20251205_sonar-foundation-agent_claude-opus-4-5,Sonar Foundation,unknown,149,Claude Opus 4.5,Opus
20251215_livesweagent_claude-opus-4-5,LiveSWEAgent,unknown,139,Claude Opus 4.5,Opus
360VL-70B,Qihoo 360,70,unknown,360VL 70B,360VL
abab6.5s,MiniMax,unknown,unknown,ABAB 6.5,ABAB
abab7-preview,MiniMax,unknown,unknown,ABAB 7,ABAB
Ahjeong/MMPO_Gemma_7b,Ahjeong,7,unknown,MMPO Gemma 7B,Gemma
Ahjeong/MMPO_Gemma_7b_gamma1.1_epoch3,Ahjeong,7,unknown,MMPO Gemma 7B,Gemma
AKI,unknown,unknown,unknown,unknown,unknown
allenai/llama-3-tulu-2-70b-uf-mean-rm,Allen AI,70,unknown,Tulu 2 70B,Tulu 2
allenai/llama-3-tulu-2-8b-uf-mean-rm,Allen AI,8,unknown,Tulu 2 8B,Tulu 2
allenai/llama-3-tulu-2-dpo-70b,Allen AI,70,unknown,Tulu 2 70B,Tulu 2
allenai/llama-3-tulu-2-dpo-8b,Allen AI,8,unknown,Tulu 2 8B,Tulu 2
allenai/OLMo-7B-Instruct,Allen AI,7,808,OLMo 7B,OLMo
allenai/tulu-2-dpo-13b,Allen AI,13,908,Tulu 2 13B,Tulu 2
allenai/tulu-2-dpo-70b,Allen AI,70,908,Tulu 2 70B,Tulu 2
allenai/tulu-2-dpo-7b,Allen AI,7,908,Tulu 2 7B,Tulu 2
allenai/tulu-v2.5-13b-preference-mix-rm,Allen AI,13,unknown,Tulu v2.5 13B,Tulu 2
allenai/tulu-v2.5-13b-uf-rm,Allen AI,13,unknown,Tulu v2.5 13B,Tulu 2
allenai/tulu-v2.5-70b-preference-mix-rm,Allen AI,70,unknown,Tulu v2.5 70B,Tulu 2
allenai/tulu-v2.5-70b-uf-rm,Allen AI,70,unknown,Tulu v2.5 70B,Tulu 2
alpaca-13b,Stanford,13,1147,Alpaca 13B,Alpaca
alpaca-7b,Stanford,7,1147,Alpaca 7B,Alpaca
Aquila-VL-2B,BAAI,2,unknown,Aquila-VL 2B,Aquila-VL
Aria,Rhymes AI,unknown,unknown,Aria,Aria
arx_0314,unknown,unknown,unknown,unknown,unknown
arx_3,unknown,unknown,unknown,unknown,unknown
AutoDevice,unknown,unknown,unknown,unknown,unknown
AzeroGPT-64b,Azero AI,64,unknown,AzeroGPT 64B,AzeroGPT
bailingMM,Alibaba,unknown,unknown,BailingMM,BailingMM
bailingMM-Lite,Alibaba,unknown,unknown,BailingMM Lite,BailingMM
BailingMM-Pro-0120,Alibaba,unknown,unknown,BailingMM Pro,BailingMM
baize-v2-13b,UCSD,13,1073,Baize v2 13B,Baize
bard,Google,unknown,1139,Bard,Bard
berkeley-nest/Starling-RM-34B,Berkeley,34,unknown,Starling RM 34B,Starling
berkeley-nest/Starling-RM-7B-alpha,Berkeley,7,unknown,Starling RM 7B,Starling
BioMistral-7B,Community,7,unknown,BioMistral 7B,BioMistral
BitAgent_GoGoAgent,unknown,unknown,unknown,unknown,unknown
BlueLM_V,VIVO,unknown,unknown,BlueLM-V,BlueLM
Bunny-llama3-8B,Community,8,unknown,Bunny 8B,Bunny
c4ai-command-r-v01,Cohere,35,792,Command-R,Command-R
cambrian_13b,NYU,13,unknown,Cambrian 13B,Cambrian
cambrian_34b,NYU,34,unknown,Cambrian 34B,Cambrian
cambrian_8b,NYU,8,unknown,Cambrian 8B,Cambrian
chameleon_30b,Meta,30,720,Chameleon 30B,Chameleon
chameleon_7b,Meta,7,720,Chameleon 7B,Chameleon
chatglm-6b,Zhipu AI,6,unknown,ChatGLM 6B,ChatGLM
ChatGPT4o,OpenAI,unknown,720,GPT-4o,GPT-4o
CIR-AMS/BTRM_Qwen2_7b_0613,CIR-AMS,7,690,BTRM Qwen2 7B,Qwen2
Claude 3 Opus,Anthropic,unknown,790,Claude 3 Opus,Opus
Claude 3.5 Sonnet,Anthropic,unknown,682,Claude 3.5 Sonnet,Sonnet
claude-3-5-haiku-20241022,Anthropic,unknown,558,Claude 3.5 Haiku,Haiku
